symbol, n_gaps, training_time, test_loss, test_acc, test_auc, test_f1, r2
AON,43,3.134291887283325,0.6512851715087891,0.6666666865348816,0.5277777910232544,0.7999999523162842,-0.03161957556368833
AOS,88,5.341173887252808,0.7117757201194763,0.3333333432674408,0.569444477558136,0.0,-0.16684164329198525
APA,269,9.799919128417969,0.6836249828338623,0.6111111044883728,0.4761905074119568,0.7560439109802246,-0.03192923536448378
APD,56,2.7188720703125,0.6925715208053589,0.5,0.3857143223285675,0.6666666865348816,-0.027386353038771682
APH,58,2.679572105407715,0.6953933238983154,0.4166666865348816,0.4714285433292389,0.5333333015441895,-0.03319193376848939
APTV,112,4.783658981323242,0.7086753845214844,0.43478262424468994,0.38846156001091003,0.0,-0.048790870077940696
ARE,42,2.8756837844848633,0.7284960746765137,0.4444444477558136,0.44999998807907104,0.615384578704834,-0.08315807271413234
ATO,47,12.995270013809204,0.750923216342926,0.6000000238418579,0.4999999701976776,0.333333283662796,-0.1378277321457828
ATVI,98,3.9051949977874756,0.683718740940094,0.6500000357627869,0.4835164546966553,0.7878787517547607,-0.07819321983070515
AVGO,108,4.603429079055786,0.6983792781829834,0.5454545617103577,0.46250003576278687,0.7058822512626648,-0.018220264784538642
AVY,55,2.7518088817596436,0.6559651494026184,0.6363636255264282,0.535714328289032,0.7777777314186096,-0.0010350247622090691
AWK,31,1.9036448001861572,0.6527283191680908,0.7142857313156128,0.949999988079071,0.8333333134651184,-0.1262995974649972
AXP,64,2.8720734119415283,0.5912149548530579,0.7692307829856873,0.6499999761581421,0.0,-0.12605191127845194
AZO,61,2.6551690101623535,0.6961221098899841,0.5384615659713745,0.3571428656578064,0.699999988079071,-0.011686703947516142
BA,115,5.839537858963013,0.7566818594932556,0.3478260934352875,0.512499988079071,0.5161290168762207,-0.24074532795085046
BAC,82,3.7012341022491455,0.7338196635246277,0.3529411852359772,0.5378788113594055,0.52173912525177,-0.18330348688549014
BAX,40,2.0237340927124023,0.6960439682006836,0.5,0.40625,0.0,-0.005776111688931884
BBY,105,5.328982830047607,0.6999045014381409,0.4285714328289032,0.37962964177131653,0.5,-0.03462257863605456
BDX,44,2.625817060470581,0.645318329334259,0.6666666865348816,0.7222222685813904,0.0,-0.01839727133552005
BEN,105,3.7391366958618164,0.6955838799476624,0.523809552192688,0.4272727072238922,0.6875,-0.0070803188245263105
BF.B,49,2.4032042026519775,0.722927987575531,0.5,0.5,0.6666666269302368,-0.057795072023267835
BIIB,82,5.120273113250732,0.701772928237915,0.4117647111415863,0.3999999761581421,0.4999999403953552,-0.04972974847166145
BIO,64,3.1452667713165283,0.6807780861854553,0.6153846383094788,0.4750000238418579,0.0,-0.03014752741062332
BK,81,3.180147886276245,0.6980605721473694,0.3529411852359772,0.4928571283817291,0.0,-0.0422827093094329
BKNG,59,3.691372871398926,0.7488953471183777,0.5,0.402777761220932,0.6666666269302368,-0.10544209101838686
BKR,108,3.776724100112915,0.6526723504066467,0.6363636255264282,0.5491071343421936,0.0,0.005652062618544673
BLK,87,5.754086017608643,0.6896660923957825,0.5,0.5062500238418579,0.0,-0.005484789704587989
