symbol, n_gaps, test_loss, test_acc, test_auc, test_f1, r2
BSX,88,0.4732780456542969,0.8409091234207153,0.8806818723678589,0.8396825790405273,0.4033211247171292
EQR,55,0.484835147857666,0.7818182110786438,0.8353495001792908,0.7333332896232605,0.3383557710212367
DFS,106,0.5199451446533203,0.7452830076217651,0.8306887745857239,0.7960073947906494,0.2968589018278667
MAS,83,0.4518853724002838,0.7831325531005859,0.879553496837616,0.7842018604278564,0.4053337166621782
USB,72,0.5733416080474854,0.6805555820465088,0.7558050155639648,0.6542130708694458,0.20409051066307993
HES,237,0.5506942272186279,0.7215190529823303,0.7926282286643982,0.7160017490386963,0.2551751468880762
NCLH,179,0.5241701602935791,0.7653631567955017,0.8134530782699585,0.7230591177940369,0.2733729013857895
MTCH,211,0.565032422542572,0.7109004855155945,0.7898472547531128,0.7191023230552673,0.24115705999205417
WDC,172,0.5204725861549377,0.7209302186965942,0.8275461196899414,0.7130657434463501,0.3005766825095857
MCHP,127,0.5146381855010986,0.7952755689620972,0.832228422164917,0.7693014740943909,0.29888833962407035
UDR,48,0.45508623123168945,0.7708333730697632,0.8557692766189575,0.7619047164916992,0.39852731306325484
URI,185,0.48715075850486755,0.7621622085571289,0.8515899181365967,0.7335022687911987,0.3518030669474228
INFO,51,0.6006653308868408,0.7058823704719543,0.7646604776382446,0.6890908479690552,0.19168152597408206
ANET,149,0.5604371428489685,0.7382550239562988,0.7956521511077881,0.7484459280967712,0.24712237123796332
IBM,59,0.6027023792266846,0.6610169410705566,0.713759183883667,0.5504761934280396,0.10761083241107372
BIIB,82,0.5786362886428833,0.6951220035552979,0.7865235805511475,0.6860632300376892,0.22191237623395133
AMD,259,0.5599814653396606,0.7181466817855835,0.8051028251647949,0.656927227973938,0.23795728451070342
JCI,74,0.5756791234016418,0.6351351737976074,0.79009610414505,0.5814034938812256,0.18807063281679837
DISCA,184,0.45504650473594666,0.7771739363670349,0.8767262697219849,0.7670688629150391,0.4052512264725592
NI,46,0.5255976915359497,0.717391312122345,0.807692289352417,0.7370967268943787,0.26693660854878787
TTWO,105,0.469323992729187,0.7904762029647827,0.8800798058509827,0.7948329448699951,0.38882622608652406
UAL,145,0.5474977493286133,0.682758629322052,0.8001355528831482,0.6769761443138123,0.2437540923037801
IPGP,153,0.411724328994751,0.8366013169288635,0.9073629975318909,0.8423862457275391,0.5014310936436388
REGN,113,0.4504382014274597,0.76106196641922,0.8851817846298218,0.7677083015441895,0.415326256487373
MRNA,255,0.5830395817756653,0.6901960968971252,0.7695298194885254,0.6301059126853943,0.2007162585689215
AMZN,76,0.5804896354675293,0.6710526347160339,0.7462365627288818,0.634644627571106,0.17905960083318018
NEM,108,0.539394736289978,0.7685185074806213,0.826797366142273,0.765296220779419,0.2746219133094867
F,84,0.5957719683647156,0.6309524178504944,0.7355324029922485,0.6004272699356079,0.1509774405801152
VMC,101,0.49039193987846375,0.7524752616882324,0.8535714745521545,0.7761729955673218,0.3280553019606991
CNC,111,0.5518292188644409,0.7387387752532959,0.7896320819854736,0.624301016330719,0.22811147738256543
ADSK,115,0.47544851899147034,0.7652174234390259,0.8595556616783142,0.7524703741073608,0.37429592463781647
MS,82,0.5284383296966553,0.7682927250862122,0.8229167461395264,0.7796356081962585,0.2889879145955435
HCA,104,0.4876554608345032,0.7403846383094788,0.8341076374053955,0.8100565671920776,0.3174957966615257
ICE,46,0.5640710592269897,0.6739130616188049,0.8128654956817627,0.649350643157959,0.19888127512723464
KR,64,0.49427899718284607,0.75,0.8536458015441895,0.7215908765792847,0.3007467365046337
PSX,114,0.5559033751487732,0.7543859481811523,0.7893921136856079,0.7018647789955139,0.24128299742915782
HAS,78,0.49324852228164673,0.7564102411270142,0.8564784526824951,0.7693375945091248,0.34121069026543105
PXD,189,0.48743703961372375,0.7936508655548096,0.858462929725647,0.7670202255249023,0.35994751531112223
IP,70,0.5425509214401245,0.7428571581840515,0.8263888955116272,0.7188644409179688,0.2854735168374978
ETSY,245,0.5369981527328491,0.7102041244506836,0.8063153028488159,0.6464532017707825,0.2743149444308459
HII,84,0.5393920540809631,0.773809552192688,0.8236467242240906,0.766453742980957,0.26839362408896705
GNRC,150,0.43730810284614563,0.7866666913032532,0.8799999952316284,0.7717236876487732,0.4228865668731736
SRE,46,0.4954173266887665,0.739130437374115,0.844761848449707,0.7904411554336548,0.33609111987551565
CTRA,243,0.5399677753448486,0.7160493731498718,0.8028931617736816,0.7356465458869934,0.26732793502153207
RE,62,0.44436556100845337,0.8225806355476379,0.875548243522644,0.8574323654174805,0.41926766486854916
RMD,57,0.5311523675918579,0.7543859481811523,0.8182381391525269,0.745192289352417,0.27786404059545156
CSCO,61,0.5843768119812012,0.6721311807632446,0.7602370381355286,0.6551723480224609,0.19322895691320074
PGR,49,0.4404117465019226,0.795918345451355,0.8653199076652527,0.8391813039779663,0.41850092319021825
SWK,101,0.46119916439056396,0.7623762488365173,0.855063796043396,0.7083333730697632,0.37609762650458234
NLSN,121,0.4483678340911865,0.8099173903465271,0.8805418610572815,0.7966095209121704,0.4140632800460339
MSI,52,0.4548966586589813,0.7692307829856873,0.853787899017334,0.7655501365661621,0.3962819135417728
GPN,85,0.5660701394081116,0.6823529601097107,0.769102931022644,0.6574074029922485,0.2220935321506522
MRO,270,0.5501769781112671,0.7148147821426392,0.7939590811729431,0.6972711682319641,0.2535403320669243
CLX,31,0.5045015811920166,0.7419354915618896,0.8666666746139526,0.7333332896232605,0.3536071966513289
APD,56,0.4732515811920166,0.7678571939468384,0.8531290292739868,0.7779155969619751,0.37800011226450647
COST,29,0.7310867309570312,0.5517241358757019,0.6071429252624512,0.5517241358757019,-0.061184082996944555
NVDA,156,0.5199224948883057,0.7692307829856873,0.8526984453201294,0.7659053206443787,0.31457032072356683
TWTR,166,0.6171354055404663,0.6445783376693726,0.7135052680969238,0.6229982376098633,0.13653905927960996
GOOG,64,0.588057279586792,0.734375,0.7526881098747253,0.7153679728507996,0.1939249780697737
